pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,0,2.82805268,0.00000065,-0.00000065,0,1.344,0.074,-0.071,0,277.46559,25.74423,-24.79074,0,0.873,0.081,-0.078,0,1417,20,-20,0,,,,,,1,0.1,-0.1,0,6.17,3.69,-3.69,0,1126.37,55.745,-55.745,15.3453,0.00077,-0.00077
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,0,2.828042,0.000013,-0.000013,0,1.35,0.075,-0.075,0,281.91521,25.10857,-25.10857,0,0.887,0.079,-0.079,0,1410,28,-28,0,,5675,80,-80,0,1.02,0.09,-0.09,0,5.8,3.8,-6.9,0,1126.37,55.745,-55.745,15.3453,0.00077,-0.00077
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,0,2.828042,0.000013,-0.000013,0,1.44,0.13,-0.13,0,290.81445,22.56593,-21.93027,0,0.915,0.071,-0.069,0,,,,,,5675,80,-80,0,1.08,0.08,-0.07,0,6.3,3.1,-3.1,0,1126.37,55.745,-55.745,15.3453,0.00077,-0.00077
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,Space,CoRoT,0,4.03519,0.00003,-0.00003,0,1.252,0.076,-0.076,0,416.99296,30.51168,-30.51168,0,1.312,0.096,-0.096,0,1432,39,-39,0,,5945,90,-90,0,1.09,0.09,-0.09,0,5.8,1.5,-6.3,0,1148.93,62.12,-56.15,14.9147,0.0005,-0.0005
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,Space,CoRoT,0,4.03519,0.00003,-0.00003,0,0.885,0.014,-0.014,0,415.704,20.976,-20.976,0,1.308,0.066,-0.066,0,1700,,,0,G0 V,5945,90,-90,0,1.09,0.02,-0.02,0,1.635,1.515,-1.515,0,1148.93,62.12,-56.15,14.9147,0.0005,-0.0005
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,Space,CoRoT,0,4.03519,0.00003,-0.00003,0,0.885,0.014,-0.014,0,423.03173,23.20159,-23.20159,0,1.331,0.073,-0.073,0,,,,,,5945,90,-90,0,1.09,0.02,-0.02,0,1.6,1.5,-1.5,0,1148.93,62.12,-56.15,14.9147,0.0005,-0.0005
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,Space,CoRoT,0,1.51214,0.00013,-0.00013,0,1.018,0.079,-0.079,0,2437.7561,158.915,-158.915,0,7.67,0.5,-0.5,0,1936,95,-95,0,,6035,100,-100,0,1.12,0.1,-0.1,0,3.7,2.6,-5,0,1744.6,173.03,-144.9,15.8116,0.000769,-0.000769
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,Space,CoRoT,0,1.51214,0.00013,-0.00013,0,1.09,0.07,-0.07,0,2415.4,190.7,-190.7,0,7.6,0.6,-0.6,0,1952,66,-66,0,F9 V,6035,100,-100,0,1.13,0.09,-0.09,0,4.2,3.8,-3.8,0,1744.6,173.03,-144.9,15.8116,0.000769,-0.000769
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,Space,CoRoT,0,1.51214,0.00013,-0.00013,0,1.09,0.07,-0.07,0,2358.2986,149.3801,-149.3801,0,7.42,0.47,-0.47,0,,,,,,6040,100,-100,0,1.13,0.09,-0.09,0,4.2,3.8,-3.8,0,1744.6,173.03,-144.9,15.8116,0.000769,-0.000769
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,Space,CoRoT,0,5.35227,0.0002,-0.0002,0,1.17,0.16,-0.14,0,170.032,27.014,-26.379,0,0.535,0.085,-0.083,0,,,,,G5 V,5650,100,-100,0,1.1,0.08,-0.08,0,6.73,2.8,-2.8,0,732.409,35.344,-32.282,15.6507,0.000998,-0.000998
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,Space,CoRoT,0,5.35227,0.0002,-0.0002,0,1.17,0.14,-0.16,0,168.13207,31.14734,-30.51168,0,0.529,0.098,-0.096,0,,,,,,5650,100,-100,0,1.1,0.08,-0.08,0,6.7,2.8,-2.8,0,732.409,35.344,-32.282,15.6507,0.000998,-0.000998
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,Space,CoRoT,0,3.7681,0.0003,-0.0003,0,1.007,0.345,-0.092,0,781.8618,82.6358,-76.2792,0,2.46,0.26,-0.24,0,1610,210,-70,0,,5740,80,-80,0,1.04,0.07,-0.05,0,8,0.8,-3.5,0,1176.12,57.17,-52.19,15.4368,0.000524,-0.000524
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,Space,CoRoT,0,3.7681,0.0003,-0.0003,0,1.02,0.07,-0.07,0,765.9703,85.8141,-82.6358,0,2.41,0.27,-0.26,0,,,,,,5740,80,-80,0,1.04,0.1,-0.1,0,10.7,1,-1,0,1176.12,57.17,-52.19,15.4368,0.000524,-0.000524
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,Space,CoRoT,0,3.7681,0.0003,-0.0003,0,1.02,0.07,-0.07,0,772.29,95.34,-95.34,0,2.43,0.3,-0.3,0,1626,31,-31,0,G2 V,5740,80,-80,0,1.04,0.1,-0.1,0,10.7,1,-1,0,1176.12,57.17,-52.19,15.4368,0.000524,-0.000524
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,Space,CoRoT,0,1.9000693,0.0000028,-0.0000028,0,1.31,0.18,-0.18,0,1102.82,120.77,-120.77,0,3.47,0.38,-0.38,0,1550,90,-90,0,G9 V,5440,100,-100,0,0.95,0.15,-0.15,0,,,,,764.889,27.614,-25.784,14.8009,0.001211,-0.001211
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,Space,CoRoT,0,1.90009,0.0000005,-0.0000005,0,1.146,0.039,-0.048,0,1048.839,60.3877,-60.3877,0,3.3,0.19,-0.19,0,1487,19,-19,0,,,,,,0.88,0.07,-0.07,0,0.032,0.003,-0.003,0,764.889,27.614,-25.784,14.8009,0.001211,-0.001211
